longitude,latitude,du_id,long_a,lat_a,type,rank
94.04175699,40.93715755,31917,94.042,40.937,s,20
94.06232287,40.93714287,31919,94.062,40.937,s,20
94.08288994,40.93712453,31921,94.083,40.937,s,20
94.1034558,40.93710251,31923,94.103,40.937,s,20
93.90807806,40.93266114,32004,93.908,40.933,s,21
93.92864375,40.93267031,32006,93.929,40.933,s,21
94.01090416,40.93267031,32014,94.011,40.933,s,21
94.03146985,40.93266114,32016,94.031,40.933,s,21
94.05203435,40.9326483,32018,94.052,40.933,s,21
94.07260002,40.93263179,32020,94.073,40.933,s,21
94.09316449,40.93261162,32022,94.093,40.933,s,21
94.11373014,40.93258777,32024,94.114,40.933,s,21
93.8978007,40.92815281,32103,93.898,40.928,s,22
93.91836499,40.92816381,32105,93.918,40.928,s,22
93.9389281,40.92817115,32107,93.939,40.928,s,22
94.00061981,40.92817115,32113,94.001,40.928,s,22
94.02118292,40.92816381,32115,94.021,40.928,s,22
94.04174721,40.92815281,32117,94.042,40.928,s,22
94.06231031,40.92813813,32119,94.062,40.928,s,22
94.08287458,40.92811979,32121,94.083,40.928,s,22
94.10343765,40.92809779,32123,94.103,40.928,s,22
93.90808644,40.92365639,32204,93.908,40.924,s,23
93.92864934,40.92366556,32206,93.929,40.924,s,23
93.94921105,40.92367106,32208,93.949,40.924,s,23
93.99033686,40.92367106,32212,93.99,40.924,s,23
94.01089858,40.92366556,32214,94.011,40.924,s,23
94.03146147,40.92365639,32216,94.031,40.924,s,23
94.05202318,40.92364355,32218,94.052,40.924,s,23
94.07258606,40.92362705,32220,94.073,40.924,s,23
94.09314774,40.92360688,32222,94.093,40.924,s,23
93.91837197,40.91915906,32305,93.918,40.919,s,24
93.93893229,40.91916639,32307,93.939,40.919,s,24
93.9594938,40.91917006,32309,93.959,40.919,s,24
93.98005412,40.91917006,32311,93.98,40.919,s,24
94.00061563,40.91916639,32313,94.001,40.919,s,24
94.02117594,40.91915906,32315,94.021,40.919,s,24
94.04173744,40.91914805,32317,94.042,40.919,s,24
94.06229775,40.91913338,32319,94.062,40.919,s,24
94.08285923,40.91911505,32321,94.083,40.919,s,24
94.10341951,40.91909304,32323,94.103,40.919,s,24
93.92865492,40.9146608,32406,93.929,40.915,s,25
93.94921384,40.9146663,32408,93.949,40.915,s,25
93.96798,40.91466813,32410,93.968,40.915,s,25
93.99033407,40.9146663,32412,93.99,40.915,s,25
94.010893,40.9146608,32414,94.011,40.915,s,25
94.0314531,40.91465163,32416,94.031,40.915,s,25
94.05201202,40.9146388,32418,94.052,40.915,s,25
94.07257211,40.91462229,32420,94.073,40.915,s,25
94.093131,40.91460213,32422,94.093,40.915,s,25
93.93893647,40.91016162,32507,93.939,40.91,s,26
93.95949519,40.91016529,32509,93.959,40.91,s,26
93.98005272,40.91016529,32511,93.98,40.91,s,26
94.00061144,40.91016162,32513,94.001,40.91,s,26
94.02116897,40.91015429,32515,94.021,40.91,s,26
94.04172768,40.91014329,32517,94.042,40.91,s,26
94.06228519,40.91012862,32519,94.062,40.91,s,26
94.08284388,40.91011029,32521,94.083,40.91,s,26
94.01088742,40.90565602,32614,94.011,40.906,s,27
94.03144473,40.90564685,32616,94.031,40.906,s,27
